cycle,on,set,v_speed,brake,accel,res,set_point,expected_throttle,req,note,throttle,state
1,True,False,0.0,0.0,0.400,False,0.000,,,activate: rising edge of on locks set_point = v_speed,0.400,active
2,True,False,28.0,0.0,0.400,False,0.000,,,"cc_active: throttle now driven by the regulator - see chart, no fixed expected value",0.000,active
3,True,False,46.2,0.0,0.400,False,0.000,,,,0.000,active
4,True,False,58.0,0.0,0.400,False,0.000,,,,0.000,active
5,True,False,65.7,0.0,0.400,False,0.000,,,,0.000,active
6,True,False,70.7,0.0,0.400,False,0.000,,,,0.000,active
7,True,False,74.0,0.0,0.400,False,0.000,,,,0.000,active
8,True,False,76.1,0.0,0.400,False,0.000,,,,0.000,active
9,True,False,77.5,0.0,0.400,False,0.000,,,,0.000,active
10,True,False,78.3,0.0,0.400,False,0.000,,,,0.000,active
11,True,False,79.0,0.0,0.400,False,0.000,,,,0.000,active
12,True,False,80.0,0.0,0.400,False,0.000,,,,0.000,active
13,True,False,80.0,0.0,0.400,False,0.000,,,,0.000,active
14,True,False,80.0,0.0,0.400,False,0.000,,,"cruise speed reached, regulator holds steady state - see chart",0.000,active
