cycle,on,set,v_speed,brake,accel,res,set_point,expected_throttle,req,note,throttle,state
1,True,False,0.0,0.0,0.300,False,0.000,,,activate,0.300,active
2,True,False,28.0,0.0,0.300,False,0.000,,,cc_active,0.000,active
3,True,False,46.2,0.0,0.300,False,0.000,,,,0.000,active
4,True,False,58.0,0.0,0.300,False,0.000,,,,0.000,active
5,True,False,65.7,0.0,0.300,False,0.000,,,,0.000,active
6,True,False,70.7,0.0,0.300,False,0.000,,,,0.000,active
7,True,False,70.7,15.0,0.300,False,0.000,,,brake -> cc_standby,0.000,standby
8,True,False,45.6,15.0,0.300,False,0.000,,,,0.300,standby
9,True,False,31.8,15.0,0.300,False,0.000,,,,0.300,standby
10,True,False,31.8,0.0,0.300,False,0.000,,,"brake released, still standby (res not yet set)",0.300,standby
11,True,False,31.8,0.0,0.300,True,0.000,,,res=true and brake<10.0 -> cc_active resumes - see chart,0.300,active
12,True,False,37.8,0.0,0.300,True,0.000,,,,0.000,active
13,True,False,52.5,0.0,0.300,True,0.000,,,,0.000,active
14,True,False,62.1,0.0,0.300,True,0.000,,,,0.000,active
