cycle,on,set,v_speed,brake,accel,res,set_point,expected_throttle,req,note,throttle,state
1,True,False,0.0,0.0,0.300,False,0.000,,,activate,0.300,active
2,True,False,28.0,0.0,0.300,False,0.000,,,cc_active,0.000,active
3,True,False,46.2,0.0,0.300,False,0.000,,,,0.000,active
4,True,False,58.0,0.0,0.300,False,0.000,,,,0.000,active
5,True,False,65.7,0.0,0.300,False,0.000,,,,0.000,active
6,True,False,70.7,0.0,0.300,False,0.000,,,,0.000,active
7,True,False,70.7,15.0,0.300,False,0.000,0.300,"REQ-02,REQ-04",brake -> cc_standby,0.000,standby
8,True,False,45.6,15.0,0.300,False,0.000,0.300,REQ-02,cc_standby continues: throttle still mirrors accel,0.300,standby
9,True,False,40.0,0.0,0.300,False,0.000,0.300,REQ-02,brake released but cc_standby persists without res,0.300,standby
10,True,True,40.0,0.0,0.300,False,0.000,0.300,REQ-04,set alone (no res) must NOT resume regulation - the key trap from TC-05 in Lab 2,0.300,standby
11,True,True,38.0,0.0,0.300,False,0.000,0.300,REQ-04,still suspended: set alone has no effect without res,0.300,standby
12,True,False,34.0,0.0,0.450,False,0.000,0.450,REQ-04,driver pedal still passes straight through while suspended,0.450,standby
13,True,False,30.0,0.0,0.200,False,0.000,0.200,REQ-04,,0.200,standby
