cycle,on,set,v_speed,brake,accel,res,set_point,expected_throttle,req,note,throttle,state
1,True,False,0.0,0.0,0.300,False,0.000,,,activate,0.300,active
2,True,False,28.0,0.0,0.300,False,0.000,,,cc_active,0.000,active
3,True,False,46.2,0.0,0.300,False,0.000,,,,0.000,active
4,True,False,58.0,0.0,0.300,False,0.000,,,,0.000,active
5,True,False,65.7,0.0,0.300,False,0.000,,,,0.000,active
6,True,False,70.7,0.0,0.300,False,0.000,,,,0.000,active
7,True,False,76.1,0.0,0.300,False,0.000,,,,0.000,active
8,True,False,77.5,0.0,0.300,False,0.000,,,steady cruise before shutoff,0.000,active
9,False,False,77.5,0.0,0.300,False,0.000,0.300,REQ-01,on=false -> cc_enabled -> cc_disabled; throttle mirrors accel again,0.000,disabled
10,False,False,70.0,0.0,0.500,False,0.000,0.500,REQ-01,,0.000,disabled
11,False,False,60.0,0.0,0.200,False,0.000,0.200,REQ-01,,0.000,disabled
12,False,False,50.0,0.0,0.000,False,0.000,0.000,REQ-01,"cc fully disabled, driver has full pedal control",0.000,disabled
