cycle,on,set,v_speed,brake,accel,res,set_point,expected_throttle,req,note
1,True,False,0.0,0.0,0.300,False,0.000,,,activate
2,True,False,28.0,0.0,0.300,False,0.000,,,cc_active
3,True,False,46.2,0.0,0.300,False,0.000,,,
4,True,False,58.0,0.0,0.300,False,0.000,,,
5,True,False,65.7,0.0,0.300,False,0.000,,,
6,True,False,70.7,0.0,0.300,False,0.000,,,
7,True,False,70.7,15.0,0.300,False,0.000,0.300,"REQ-02,REQ-04",brake > 10.0 moves cc_active -> cc_standby; throttle falls back to accel
8,True,False,45.6,15.0,0.300,False,0.000,0.300,REQ-02,cc_standby continues: throttle still mirrors accel while braking
9,True,False,31.8,15.0,0.300,False,0.000,0.300,REQ-02,
10,True,False,24.3,15.0,0.300,False,0.000,0.300,REQ-02,
11,True,False,20.1,15.0,0.300,False,0.000,0.300,REQ-02,
12,True,False,17.8,15.0,0.300,False,0.000,0.300,REQ-02,
13,True,False,16.5,15.0,0.300,False,0.000,0.300,REQ-02,
